83,MH529995/2018-19/115427420,8.10000 MAl,0.21000 N,0.23000 VL,105.00000 VL,20.40000 M,68.00000 VL,14.80000 S,0.58000 D,3.30000 D,1.60000 S,7.30000 S,0.48000 D
84,MH529995/2018-19/115427738,7.43000 MAl,0.32000 N,0.50000 L,223.00000 L,7.10000 L,355.00000 H,14.60000 S,0.46000 D,3.00000 D,2.70000 S,9.50000 S,0.40000 D
85,MH529995/2018-19/115428165,7.35000 MAl,0.51000 N,0.32000 L,144.00000 L,4.90000 VL,533.00000 H,12.20000 S,0.36000 D,3.80000 D,2.00000 S,11.60000 S,0.34000 D
86,MH529995/2018-19/115553039,7.50000 MAl,0.41000 N,0.20000 VL,92.00000 VL,7.30000 L,354.00000 H,8.00000 D,0.28000 D,5.30000 S,3.20000 S,13.00000 S,0.38000 D
87,MH529995/2018-19/115553277,7.69000 MAl,0.53000 N,0.59000 M,262.00000 L,9.50000 L,250.00000 M,12.40000 S,0.20000 D,5.80000 S,2.50000 S,14.70000 S,0.42000 D
88,MH529995/2018-19/115553511,7.93000 MAl,0.36000 N,0.53000 M,236.00000 L,7.90000 L,423.00000 H,14.30000 S,0.36000 D,3.90000 D,1.10000 S,13.00000 S,0.48000 D
89,MH529995/2018-19/115553701,7.52000 MAl,0.48000 N,0.41000 L,184.00000 L,11.20000 M,296.00000 M,13.50000 S,0.58000 D,3.50000 D,1.70000 S,9.30000 S,0.26000 D
90,MH529995/2018-19/115554093,7.61000 MAl,0.13000 N,0.26000 L,118.00000 VL,6.00000 L,420.00000 H,14.70000 S,0.44000 D,3.70000 D,1.50000 S,9.90000 S,0.42000 D
91,MH529995/2018-19/115554272,7.40000 MAl,0.02700 N,0.50000 L,223.00000 L,8.40000 L,469.00000 H,10.90000 S,0.34000 D,6.10000 S,1.60000 S,6.70000 S,0.40000 D
92,MH529995/2018-19/115554421,7.63000 MAl,0.60000 N,0.32000 L,144.00000 L,11.40000 M,549.00000 H,9.80000 D,0.48000 D,6.30000 S,2.70000 S,7.10000 S,0.46000 D
93,MH529995/2018-19/115554544,7.90000 MAl,0.36000 N,0.47000 L,210.00000 L,7.60000 L,321.00000 M,11.80000 S,0.54000 D,4.60000 S,2.90000 S,8.50000 S,0.58000 S
94,MH529995/2018-19/115554815,7.50000 MAl,0.49000 N,0.35000 L,157.00000 L,6.30000 L,281.00000 M,13.70000 S,0.32000 D,3.40000 D,1.50000 S,13.00000 S,0.36000 D
95,MH529995/2018-19/115562542,7.13000 MAl,0.53000 N,0.47000 L,210.00000 L,5.20000 L,296.00000 M,14.00000 S,0.20000 D,4.40000 D,2.70000 S,11.50000 S,0.30000 D
96,MH529995/2018-19/115562620,7.90000 MAl,0.65000 N,0.56000 M,249.00000 L,6.80000 L,2.77000 VL,13.20000 S,0.26000 D,5.40000 S,2.50000 S,14.00000 S,0.58000 S
97,MH529995/2018-19/115562659,7.40000 MAl,0.44000 N,0.32000 L,144.00000 L,12.00000 M,339.00000 H,11.20000 S,0.34000 D,5.20000 S,2.40000 S,10.50000 S,0.44000 D
98,MH529995/2018-19/115562746,7.70000 MAl,0.26000 N,0.41000 L,184.00000 L,10.10000 M,323.00000 M,14.30000 S,0.38000 D,5.00000 S,2.90000 S,13.50000 S,0.34000 D
99,MH529995/2018-19/115562887,7.90000 MAl,0.69000 N,0.47000 L,210.00000 L,13.30000 M,374.00000 H,11.00000 S,0.30000 D,5.40000 S,2.20000 S,6.00000 S,0.42000 D
100,MH529995/2018-19/115562941,7.52000 MAl,0.32000 N,0.50000 L,223.00000 L,4.90000 VL,312.00000 M,10.60000 S,0.32000 D,5.40000 S,1.80000 S,13.00000 S,0.52000 S
101,MH529995/2018-19/115563116,7.30000 MAl,0.36000 N,0.23000 VL,105.00000 VL,11.40000 M,319.00000 M,13.20000 S,0.38000 D,3.40000 D,1.60000 S,13.00000 S,0.44000 D
102,MH529995/2018-19/115612641,7.90000 MAl,0.65000 N,0.32000 L,144.00000 L,13.90000 M,366.00000 H,9.40000 D,0.46000 D,5.90000 S,2.60000 S,10.50000 S,0.42000 D
103,MH529995/2018-19/115613404,7.70000 MAl,0.49000 N,0.20000 VL,92.00000 VL,26.90000 H,485.00000 H,15.00000 S,0.44000 D,2.80000 D,2.60000 S,10.70000 S,0.54000 S
104,MH529995/2018-19/115614512,7.90000 MAl,0.65000 N,0.23000 VL,105.00000 VL,4.60000 VL,466.00000 H,11.80000 S,0.36000 D,4.40000 D,1.60000 S,10.70000 S,0.40000 D
105,MH529995/2018-19/115615006,7.50000 MAl,0.43000 N,0.41000 L,184.00000 L,19.00000 M,441.00000 H,8.70000 D,0.26000 D,5.20000 S,1.50000 S,14.50000 S,1.62000 S
